Note,Base URL,Created time,Date,Files,Related to Areas Database,Related to Projects Database,Related to Resources Database,Type,URL,Updated time
(1215) 比特幣暴漲，幣圈新手如何抓住機會？ 一堂從 0 到 1 的比特幣投資完全入門 - YouTube - 腦哥 Chill塊鏈,youtube.com,"May 28, 2025 11:41 PM",05/28/2025,,[CC] Blockchain (https://www.notion.so/CC-Blockchain-1ff406f9700780e0a4ffc964f5c78f83?pvs=21),,,Research,https://www.youtube.com/watch?v=Meh0whvRv7U,"June 11, 2025 11:03 PM"
建立可靠 AGV 和 AS/RS 無線通訊的 3 個關鍵要素,moxa.com,"May 29, 2025 9:38 AM",05/29/2025 9:37 (GMT+8),,[CC] IoT (https://www.notion.so/CC-IoT-202406f97007801988a3c2ea6b51d2d3?pvs=21),,,Research,https://www.moxa.com/tw/articles/reliable-wireless-communications-agvs-as-rs,"May 29, 2025 11:49 PM"
[DMS] CSW2 IoT 稼動率接收 (永州創優運動用品有限公司),,"May 29, 2025 1:40 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 15, 2025 3:25 PM"
[DMS] KDM1 IoT 稼動率接收 (KDMR SPORTS CO.LTD),,"May 29, 2025 1:40 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 25, 2025 9:52 AM"
[DMS] CYW IoT 稼動率接收 (永州遠威運動鞋業有限公司),,"May 29, 2025 1:40 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 23, 2025 5:37 PM"
[DMS] IDM1 IoT 稼動率接收,,"May 29, 2025 1:41 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"August 11, 2025 1:06 PM"
"[DMS] JDM IoT 稼動率接收 (日威運動用品株式會社 
Diamond Sports Group Japan)",,"May 29, 2025 1:41 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"May 29, 2025 1:42 PM"
[DMS] IDM3 IoT 稼動率接收,,"May 29, 2025 1:43 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"May 29, 2025 1:43 PM"
[DMS] IDS IoT 稼動率接收 (思創),,"May 29, 2025 1:45 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"May 29, 2025 1:45 PM"
[DMS] CDI IoT 稼動率接收 (創群),,"May 29, 2025 1:45 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"May 29, 2025 1:49 PM"
[DMS] 新增一個審核機制讓各廠可以過簽資產類別新增,,"May 29, 2025 1:53 PM",05/29/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Thoughts,,"May 29, 2025 1:54 PM"
[DMS] CSW8 IoT 稼動率接收 (永州新威運動用品有限公司),,"May 29, 2025 5:02 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"July 4, 2025 5:14 PM"
"[ENC] Essential ",,"May 29, 2025 8:01 PM",05/29/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"May 29, 2025 10:32 PM"
[DMS] FAS 使用心得,,"May 30, 2025 10:21 AM",05/30/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Documentation,,"May 30, 2025 10:25 AM"
Course Planning,learn.microsoft.com,"May 30, 2025 10:57 AM",05/30/2025 10:56 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Research,https://learn.microsoft.com/zh-tw/plans/odgoumq07e4x83,"June 15, 2025 7:29 PM"
澳洲騎馬行程,,"May 31, 2025 2:20 PM",05/31/2025,,[CC] Travel (https://www.notion.so/CC-Travel-1f1406f9700781cb8e69e38bd09694ec?pvs=21),,,Notes,,"May 31, 2025 2:21 PM"
(1235) Python for Data Analytics - Full Course for Beginners - YouTube - Luke Barousse,youtube.com,"June 1, 2025 3:21 PM",06/01/2025 15:20 (GMT+8),,"[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21)",,,Research,https://www.youtube.com/watch?v=wUSDVGivd-8,"June 1, 2025 3:21 PM"
(1235) SQL for Data Analytics - Learn SQL in 4 Hours - YouTube - Luke Barousse,youtube.com,"June 1, 2025 3:23 PM",06/01/2025 15:22 (GMT+8),,"[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21), [CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21)",,,Research,https://www.youtube.com/watch?v=7mz73uXD9DA,"June 1, 2025 3:23 PM"
Azure AI Learning Notes,,"June 1, 2025 3:25 PM",06/01/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21),"Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21), Azure (https://www.notion.so/Azure-217406f9700780989abce11890ff9fd0?pvs=21)",Notes,,"August 31, 2025 2:39 PM"
[ECL] Essential,,"June 1, 2025 8:00 PM",06/01/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 22, 2025 3:27 PM"
[DMS] 製作判別機台自動化稼動率功能,,"June 2, 2025 10:14 AM",06/02/2025,,,"[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21), [DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)",Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Thoughts,,"June 2, 2025 10:16 AM"
[DMS] IDM2 資產系統說明會議,,"June 2, 2025 11:57 AM",06/02/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"June 2, 2025 12:12 PM"
(1246) AI 商機大爆炸！紅杉資本：這次市場規模比雲端轉型大一個數量級，學會「隨機性思維」與「管理 AI Agents」 - YouTube - fOx Hsiao,youtube.com,"June 2, 2025 12:59 PM",06/02/2025 12:59 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),,,Research,https://www.youtube.com/watch?v=n4SStAx1D3M,"June 2, 2025 12:59 PM"
"The next wave of AI will sell not tools, but profits.",medium.com,"June 2, 2025 12:59 PM",06/02/2025 12:59 (GMT+8),,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),,,Research,https://medium.com/@2779225327/the-next-wave-of-ai-will-sell-not-tools-but-profits-d69f58c045ff,"June 2, 2025 12:59 PM"
[DMS] 資產管理系統 Roadmap&時間表,,"June 2, 2025 4:53 PM",06/02/2025,,[CC] Shoemaking Industry (https://www.notion.so/CC-Shoemaking-Industry-73325bf4a197465b9b20c17fc6b3cc52?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"July 2, 2025 10:48 AM"
[DMS] 報價單查詢功能,,"June 2, 2025 10:25 PM",06/02/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Notes,,"June 2, 2025 10:56 PM"
[DMS] 統一稼動率接收格式,,"June 3, 2025 11:18 AM",06/03/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 26, 2025 1:30 PM"
"Newbalance 、 On、 Puma、Mizuno 等品牌目前有限定鞋業代工廠需要使用規定配合的製鞋機台嗎
",perplexity.ai,"June 3, 2025 2:01 PM",06/03/2025 14:00 (GMT+8),,[CC] Shoemaking Industry (https://www.notion.so/CC-Shoemaking-Industry-73325bf4a197465b9b20c17fc6b3cc52?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Research,https://www.perplexity.ai/search/newbalance-on-puma-mizuno-deng-NKE4zNtkTPmH6Vm9Axcs.g,"June 3, 2025 7:53 PM"
[ECL] Essential,,"June 3, 2025 7:53 PM",06/03/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 3, 2025 8:50 PM"
SOP 是什麼？４步驟教你建立標準作業流程,,"June 3, 2025 9:34 PM",06/03/2025,,[CC] Team Management (https://www.notion.so/CC-Team-Management-1f1406f9700781929ca4e34747efb4da?pvs=21),,,,,"June 3, 2025 9:44 PM"
[DMS] CYY IoT 稼動率接收 (永州創遠運動用品有限公司),,"June 4, 2025 12:31 PM",05/28/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 27, 2025 3:30 PM"
什麼是 MTBF？ | Pure Storage,purestorage.com,"June 4, 2025 5:24 PM",06/04/2025 17:23 (GMT+8),,,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)",,Research,https://www.purestorage.com/tw/knowledge/what-is-mtbf.html,"June 7, 2025 9:11 PM"
[CLS] Life Situation,,"June 4, 2025 6:59 PM",06/04/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 4, 2025 7:25 PM"
[DMS] 會計查看採購單&申請單方式,,"June 4, 2025 11:08 PM",06/04/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Thoughts,,"June 4, 2025 11:10 PM"
[DMS] 產能利用率,,"June 5, 2025 9:26 AM",06/05/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"June 5, 2025 9:29 AM"
(1268) 人生卡住時，停下來、正視你的恐懼｜Graham Weaver 史丹佛畢業演講 - YouTube - Dr. Harvey不廢話,youtube.com,"June 5, 2025 12:23 PM",06/05/2025 12:23 (GMT+8),,[CC] Health (https://www.notion.so/CC-Health-1f1406f9700781c28bb2c32766b4e47f?pvs=21),,,Research,https://www.youtube.com/watch?v=aPzEnjl9rPE,"June 5, 2025 10:05 PM"
[DMS] 會計功能,,"June 5, 2025 2:10 PM",06/05/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Thoughts,,"June 5, 2025 2:19 PM"
[DMS] 資產調撥功能,,"June 5, 2025 5:01 PM",06/05/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Thoughts,,"June 5, 2025 5:05 PM"
[ECL] Essential,,"June 5, 2025 7:57 PM",06/05/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 5, 2025 8:55 PM"
"(1271) Vinod Khosla, MBA '80: Failure does not matter. Success matters. - YouTube - Stanford Graduate School of Business",youtube.com,"June 5, 2025 10:09 PM",06/05/2025 22:08 (GMT+8),,[CC] Health (https://www.notion.so/CC-Health-1f1406f9700781c28bb2c32766b4e47f?pvs=21),,,Research,https://www.youtube.com/watch?v=HZcXup7p5-8,"June 5, 2025 10:09 PM"
UmiJS - 插件化的企业级前端应用框架,umijs.org,"June 5, 2025 10:10 PM",06/05/2025 22:09 (GMT+8),,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,,Research,https://umijs.org/,"June 5, 2025 10:10 PM"
專案管理三角形：這是什麼，如何使用？ [2025] • Asana,asana.com,"June 6, 2025 11:12 AM",06/06/2025 11:11 (GMT+8),,,,Project Management (https://www.notion.so/Project-Management-1fe406f97007809d931ff6c3e0784faa?pvs=21),Research,https://asana.com/zh-tw/resources/project-management-triangle,"June 6, 2025 11:12 AM"
"[DMS] 湖南區 IoT 稼動率看板 ",,"June 6, 2025 3:59 PM",06/06/2025,,[CC] IoT (https://www.notion.so/CC-IoT-202406f97007801988a3c2ea6b51d2d3?pvs=21),[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"August 27, 2025 1:32 PM"
[DMS] Supplier - 嘉印印刷,,"June 6, 2025 4:11 PM",06/06/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"September 24, 2025 3:31 PM"
[DMS] Supplier - 祥益,,"June 6, 2025 5:12 PM",06/06/2025,,[CC] IoT (https://www.notion.so/CC-IoT-202406f97007801988a3c2ea6b51d2d3?pvs=21),[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 9, 2025 10:03 AM"
[ECL] Life Situation,,"June 6, 2025 7:03 PM",06/06/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 22, 2025 3:27 PM"
"[OEE] Essential ",,"June 8, 2025 7:59 PM",06/08/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 9, 2025 10:17 AM"
ODM是什麼？解析ODM、OEM差異及代工流程，幫助做出合作決策,gs.amazon.com.tw,"June 9, 2025 3:37 PM",06/09/2025 15:34 (GMT+8),,[CC] Manufacturer (https://www.notion.so/CC-Manufacturer-20d406f9700780a1a265def77f22426d?pvs=21),,,Research,"https://gs.amazon.com.tw/blog/what-is-the-difference-between-odm-and-oem-230921#:~:text=OEM%E6%98%AFOriginal%20Equipment%20Manufacturer,%E8%A1%8C%E9%8A%B7%E5%8F%8A%E9%8A%B7%E5%94%AE%E7%AD%89%E6%9C%8D%E5%8B%99%E3%80%82","June 9, 2025 3:37 PM"
[DMS] 可以做一個 Azure Open AI 的 FAS Quotation Blob Search 實驗,,"June 9, 2025 11:18 PM",06/09/2025,,[CC] AI (https://www.notion.so/CC-AI-1f1406f9700781318b64f05aa67744ba?pvs=21),[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Azure AI (https://www.notion.so/Azure-AI-203406f9700780bfa07ac87397d1ad98?pvs=21),Thoughts,,"June 9, 2025 11:19 PM"
在資產主表新增供應商&類別小範圍刷新功能,,"June 10, 2025 2:56 PM",06/10/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),,Thoughts,,"June 10, 2025 2:57 PM"
[DMS] Supplier - 百川 UV 數碼打印,,"June 10, 2025 3:20 PM",06/10/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 10, 2025 3:21 PM"
Modbus是什麼？Modbus RTU通訊協定一次搞懂,lorric.com,"June 10, 2025 3:26 PM",06/10/2025 15:25 (GMT+8),,[CC] Manufacturer (https://www.notion.so/CC-Manufacturer-20d406f9700780a1a265def77f22426d?pvs=21),[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Research,https://www.lorric.com/tw/Articles/flowmeter-technology/ultrasonic-flowmeter/modbus-rtu,"June 10, 2025 3:26 PM"
"[ECL] Essential ",,"June 10, 2025 8:00 PM",06/10/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 10, 2025 8:51 PM"
[DMS]  Confluent 會議,,"June 11, 2025 1:58 PM",06/11/2025,,"[CC] Data Analysis (https://www.notion.so/CC-Data-Analysis-200406f97007801a8550d5bd0612c988?pvs=21), [CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21)",,,Notes,,"July 23, 2025 11:48 PM"
[ECL] Life sutuation,,"June 11, 2025 7:11 PM",06/11/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"July 22, 2025 3:27 PM"
Ad hoc - 維基百科，自由的百科全書,zh.wikipedia.org,"June 12, 2025 1:36 PM",06/12/2025 13:36 (GMT+8),,[CC] Software Engineering (https://www.notion.so/CC-Software-Engineering-200406f970078083b2abd5d36bfd3989?pvs=21),,,Research,"https://zh.wikipedia.org/zh-tw/Ad_hoc#:~:text=Ad%20hoc%20%E6%98%AF%E4%B8%80%E5%80%8B%E6%8B%89%E4%B8%81,%E9%A0%88%E8%88%87a%20priori%20%E5%8D%80%E5%88%86%E3%80%82","June 12, 2025 1:36 PM"
"Release GBOS Forward Docker.file to PowerShell ",,"June 13, 2025 1:30 PM",06/13/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 15, 2025 7:46 PM"
"冬瓜HAOS 刷機制小米  MDZ-22-AB ",,"June 14, 2025 2:22 PM",06/14/2025,,[CC] IoT (https://www.notion.so/CC-IoT-202406f97007801988a3c2ea6b51d2d3?pvs=21),,,Notes,,"June 14, 2025 6:10 PM"
照片或文字檔案解析功能 - Azure Document OCR AI Service,learn.microsoft.com,"June 15, 2025 3:57 PM",06/15/2025 15:57 (GMT+8),,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Research,https://learn.microsoft.com/zh-tw/azure/ai-services/document-intelligence/model-overview?view=doc-intel-4.0.0,"July 1, 2025 12:14 AM"
"[ECL] Essential ",,"June 15, 2025 7:49 PM",06/15/2025,,,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21),,Notes,,"June 15, 2025 8:52 PM"
[DMS] 將稼動率加入到鑽石周報,,"June 16, 2025 12:49 PM",06/16/2025,,,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21),,Notes,,"June 16, 2025 2:18 PM"
ISO 55001:2014,iso.org,"June 17, 2025 9:50 AM",06/17/2025 9:49 (GMT+8),,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Research,https://www.iso.org/standard/55089.html,"June 17, 2025 9:50 AM"
ISO Strategy from 2023 to 2030,iso.org,"June 17, 2025 1:19 PM",06/17/2025 13:19 (GMT+8),,,,,Research,https://www.iso.org/files/live/sites/isoorg/files/store/en/PUB100364.pdf,"June 17, 2025 1:19 PM"
模具監測功能,,"June 17, 2025 1:33 PM",06/17/2025,,,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21),Fixed Assets (https://www.notion.so/Fixed-Assets-5b30143ba0ff4516930efe5854b28f9b?pvs=21),Notes,,"June 17, 2025 1:44 PM"
[DMS] 全端工程師求職紀錄,,"June 17, 2025 3:17 PM",06/17/2025,,,,Recruiters (https://www.notion.so/Recruiters-1fe406f97007803d86f3c71bb59562df?pvs=21),Notes,,"June 17, 2025 4:43 PM"
投資報酬率怎麼算才對 ？ROI 又是什麼？,hububble.co,"June 17, 2025 4:43 PM",06/17/2025 16:43 (GMT+8),,[CC] Financial (https://www.notion.so/CC-Financial-1ff406f9700780959857f59c3bca3cb0?pvs=21),,,Research,https://www.hububble.co/blog/roi,"June 17, 2025 4:43 PM"
